"Data Import Template"
"Table:","Custom DocPerm"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Custom DocPerm","","","","","","","","","","","","","","","","","","","",""
"","""8d2494ac09""","Accounts User","2018-04-13 17:42:43.252224","Administrator","Finance Book",0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1
"","""90257edb83""","HR Manager","2018-04-13 16:31:39.190787","Administrator","Employee Benefit Application",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""905b0b86a7""","HR Manager","2013-01-10 16:34:13","Administrator","Attendance",0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1
"","""9130a6f3a1""","HR User","2018-05-10 12:04:08.396461","Administrator","Additional Salary",0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1
"","""9260d614fb""","HR User","2013-02-21 09:55:58","Administrator","Leave Type",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""935ba2893b""","Employee","2019-06-10 11:56:34.536413","Administrator","Employee Checkin",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""93d431186c""","Stock User","2013-01-10 16:34:24","Administrator","Terms and Conditions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""9630984249""","Accounts User","2013-02-28 17:57:33","Administrator","Timesheet",0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
"","""963e11ec99""","System Manager","2018-05-15 06:32:33.950356","Administrator","Travel Request",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""977b3a32a3""","HR User","2013-03-07 18:50:29","Administrator","Salary Structure",0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"","""990df6a176""","Employee","2012-03-27 14:35:55","Administrator","Expense Claim Type",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""9a992d0677""","Employee Self Service","2024-06-28 14:30:44.361655","Administrator","Cost Center",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""9b43472315""","HR Manager","2022-01-27 13:14:35.935580","Administrator","Training Feedback",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""9cf935ce1b""","HR User","2013-01-29 19:25:37","Administrator","Job Applicant",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""9ed136ed8c""","HR User","2013-01-10 16:34:14","Administrator","Employment Type",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""a0580096ce""","Employee Self Service","2024-06-28 14:30:41.393876","Administrator","Shift Request",0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1
"","""a0a3ed0ddc""","Employee Self Service","2024-06-28 14:30:38.320723","Administrator","Company",0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
"","""a320222332""","Employee Self Service","2024-06-28 14:30:48.824900","Administrator","Salary Component",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""a4a86ac2b5""","HR Manager","2013-03-07 18:50:29","Administrator","Salary Structure",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"","""a835bfcc99""","Stock User","2023-05-29 13:02:17.121296","Administrator","Warehouse",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""a85022b9e6""","HR Manager","2017-10-23 15:22:29.291323","Administrator","Payroll Entry",0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0
"","""a88f7bccd6""","HR User","2013-01-10 16:34:14","Administrator","Expense Claim",0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"","""ab79caa802""","Employee Self Service","2024-06-28 14:30:43.444590","Administrator","Attendance",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""ab9cdeeac8""","Employee","2018-04-13 16:32:27.974273","Administrator","Shift Request",0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1
"","""ae7d1a1781""","Employee Self Service","2024-06-28 14:30:48.087001","Administrator","Payment Terms Template",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""af3914b364""","Accounts User","2013-01-28 10:06:02","Administrator","Currency",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""af9ca3e833""","HR User","2018-05-09 12:47:26.983095","Administrator","Employee Tax Exemption Sub Category",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""afe8cc1f56""","HR Manager","2013-01-10 16:34:14","Administrator","Employment Type",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""b16d9c5cec""","All","2013-01-19 10:23:30","Administrator","Country",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""b2cdad4d0a""","Accounts User","2022-01-25 10:29:57.771398","Administrator","Sales Invoice",0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1
"","""b353abd237""","HR User","2018-04-13 14:51:39.326768","Administrator","Compensatory Leave Request",0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1
"","""b484db5af3""","HR Manager","2016-08-08 04:53:58.355206","Administrator","Training Event",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"","""b4e17d0d99""","Employee Self Service","2024-06-28 14:30:40.785400","Administrator","Training Program",0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
"","""b67eccd5c8""","Employee","2013-01-10 16:34:14","Administrator","Expense Claim",0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1
"","""b7101f85e9""","Stock Manager","2024-07-15 09:17:31.681847","Administrator","Delivery Note",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"","""b837bb9bd3""","Projects User","2022-01-25 10:29:55.938239","Administrator","Company",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""bb3059d825""","Auditor","2013-01-30 12:49:46","Administrator","Account",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""bc62dc170c""","System Manager","2018-05-15 07:00:30.933908","Administrator","Purpose of Travel",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""bc663e86a1""","Employee","2021-03-23 14:54:45.047051","Administrator","Employee Referral",0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1
"","""bcee84107f""","Employee","2018-04-13 16:53:36.175504","Administrator","Employee Tax Exemption Declaration",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""bcf3d0faca""","Accounts User","2024-07-15 09:17:31.702031","Administrator","Delivery Note",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"","""bee8edce63""","HR User","2017-03-27 14:32:51.628588","Administrator","Employee Health Insurance",0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1
"","""bfd587fbed""","Employee Self Service","2024-06-28 14:30:40.191751","Administrator","Employee Tax Exemption Declaration",0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
"","""c02c981c22""","System Manager","2018-04-13 15:18:53.698553","Administrator","Payroll Period",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""c0f2d82e50""","Employee Self Service","2024-06-28 14:30:43.960367","Administrator","Gender",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""c0f636df95""","Employee Self Service","2024-06-28 14:30:38.514936","Administrator","Salary Slip",0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
"","""c1ad0e7d61""","HR User","2018-04-13 16:14:24.174138","Administrator","Employee Grade",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""c20130c7dd""","Employee Self Service","2024-06-28 14:30:47.904119","Administrator","Activity Type",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""c2a2a3411c""","HR Manager","2021-05-11 12:41:50.256071","Administrator","Grievance Type",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""c46f7dd432""","Accounts Manager","2012-12-04 17:49:20","Administrator","Mode of Payment",0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1
"","""c4f2d91418""","Employee Self Service","2024-06-28 14:30:44.148758","Administrator","Employee Tax Exemption Sub Category",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""c51d5726ae""","System Manager","2013-01-08 15:50:01","Administrator","Role",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""c59b0f58ff""","Sales User","2023-05-29 13:02:17.121296","Administrator","Warehouse",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""c59e5cd882""","Employee Self Service","2024-06-28 14:30:46.701122","Administrator","Salutation",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""c91f9ff9ef""","HR Manager","2021-05-11 13:41:51.485295","Administrator","Employee Grievance",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""ca92956690""","Stock Manager","2024-07-15 09:17:31.515922","Administrator","Delivery Note",0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1
"","""cb21521413""","HR User","2016-06-30 15:42:43.631931","Administrator","Salary Component",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""cc851ffd7e""","HR User","2018-04-13 16:51:36.971140","Administrator","Employee Tax Exemption Category",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""ce09173552""","Accounts User","2013-06-11 14:26:44","Administrator","Customer",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""ce3949d05e""","System Manager","2013-01-10 16:34:24","Administrator","Terms and Conditions",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""ce8b9f9f51""","MANAGING PARTNER (ADMIN)","2024-07-15 09:20:23.826246","Administrator","Delivery Note",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"","""d1c5de2470""","Employee Self Service","2024-06-28 14:30:46.329395","Administrator","Employee Health Insurance",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""d217a4bbf6""","HR User","2013-01-10 16:34:15","Administrator","Salary Slip",0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1
"","""d24634d43a""","Accounts Manager","2013-01-23 19:57:17","Administrator","Cost Center",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""d43c5a3007""","Employee Self Service","2024-06-28 14:30:44.685732","Administrator","Additional Salary",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""d440bba12b""","HR Manager","2019-06-10 11:56:34.536413","Administrator","Employee Checkin",0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1
"","""d463f9d03c""","HR User","2018-04-13 16:22:52.954783","Administrator","Shift Type",0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1
"","""d494719741""","System Manager","2013-01-10 16:34:13","Administrator","Attendance",0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1
"","""d50245873e""","HR User","2019-06-10 11:56:34.536413","Administrator","Employee Checkin",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""d6339d5685""","HR Manager","2018-05-09 12:47:26.983095","Administrator","Employee Tax Exemption Sub Category",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""d6aa27e575""","System Manager","2019-06-10 11:56:34.536413","Administrator","Employee Checkin",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""d6e0a1a9d0""","Delivery Manager","2017-10-16 16:45:48.293335","Administrator","Delivery Trip",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""d9970a61f0""","Item Manager","2023-05-29 13:02:17.121296","Administrator","Warehouse",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""da25ac93c6""","Purchase Manager","2013-01-10 16:34:11","Administrator","Supplier",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
"","""da564793b0""","Purchase User","2022-01-25 10:29:55.938239","Administrator","Company",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""daef94f0ed""","Sales User","2013-06-11 14:26:44","Administrator","Customer",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""dbdc8633a1""","Employee Self Service","2024-06-28 14:30:39.979015","Administrator","Compensatory Leave Request",0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
"","""dcca8f149b""","Sales Master Manager","2013-01-10 16:34:24","Administrator","Terms and Conditions",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""ddc66ae267""","Auditor","2018-04-13 17:42:43.252224","Administrator","Finance Book",0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1
"","""ded6fcd0d3""","Employee Self Service","2024-06-28 14:30:48.511281","Administrator","Designation",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""dfadf00b80""","System Manager","2018-04-13 16:14:24.174138","Administrator","Employee Grade",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""e0a98e805b""","Employee Self Service","2024-06-28 14:30:45.947530","Administrator","Grievance Type",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""e0b49c0d65""","System Manager","2022-01-25 10:29:55.938239","Administrator","Company",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""e18c421749""","Projects User","2013-03-07 11:55:07","Administrator","Project",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""e61de70d7a""","Employee Self Service","2024-06-28 14:30:42.255508","Administrator","Job Applicant",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""e73e2aec91""","Expense Approver","2022-01-17 18:36:51.450395","Administrator","Employee Advance",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""e8a1bedeaf""","Employee Self Service","2024-06-28 14:30:40.639889","Administrator","Timesheet",0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1
"","""e94973ba12""","Accounts User","2022-01-25 10:29:58.717206","Administrator","Journal Entry",0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"","""ea6560c9ea""","Delivery User","2024-07-15 09:17:31.711195","Administrator","Delivery Note",0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1
"","""ea9e654766""","Employee Self Service","2024-06-28 14:30:40.358676","Administrator","Employee Tax Exemption Proof Submission",0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
"","""eadf10774f""","Accounts Manager","2022-01-25 10:29:57.771398","Administrator","Sales Invoice",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"","""ee07be72e9""","Accounts Manager","2022-01-25 10:29:57.771398","Administrator","Sales Invoice",0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"","""ee69abb86f""","Employee Self Service","2024-06-28 14:30:38.029677","Administrator","Employee",0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1
"","""ee9860d822""","Employee","2022-02-21 11:54:09.632218","Administrator","Employee",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""eea34f625a""","Employee","2018-04-13 15:37:40.918990","Administrator","Attendance Request",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""eec2f96c5b""","Purchase User","2013-01-28 10:06:02","Administrator","Currency",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""ef56b54c2b""","Employee","2021-05-11 13:41:51.485295","Administrator","Employee Grievance",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""efca246c21""","HR Manager","2018-04-13 15:18:53.698553","Administrator","Payroll Period",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""f0561bec3c""","HR User","2013-02-20 19:10:38","Administrator","Leave Allocation",0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1
"","""f0a6a49ede""","Employee Self Service","2024-06-28 14:30:42.923082","Administrator","Identification Document Type",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""f0bb897e1b""","Administrator","2013-02-18 13:36:19","Administrator","DocType",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""f13bf6951f""","All","2017-04-10 12:17:58.071915","Administrator","Salutation",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""f21f09c875""","HR Manager","2019-06-10 11:56:34.536413","Administrator","Employee Checkin",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""f4393fcc13""","HR User","2013-01-10 16:34:13","Administrator","Designation",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""f50bc52a81""","Employee Self Service","2024-06-28 14:30:45.626102","Administrator","Employment Type",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""f565563ac2""","Employee Self Service","2024-06-28 14:30:42.684048","Administrator","Training Event",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""f586d0a25b""","Sales User","2022-01-25 10:29:55.938239","Administrator","Company",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""f5ab1491df""","System Manager","2017-08-10 15:34:28.058054","Administrator","Payment Terms Template",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""f6728c4747""","Employee","2018-04-13 16:31:39.190787","Administrator","Employee Benefit Application",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""f7929e81db""","System Manager","2021-05-11 12:41:50.256071","Administrator","Grievance Type",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""f7bf68a902""","System Manager","2018-04-13 16:53:36.175504","Administrator","Employee Tax Exemption Declaration",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""f89e74481a""","Accounts Manager","2022-01-25 10:29:58.717206","Administrator","Journal Entry",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"","""f8dac62735""","Projects User","2013-03-05 10:14:59","Administrator","Activity Type",0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1
"","""fa4f955f2e""","HR User","2013-01-10 16:34:13","Administrator","Attendance",0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
"","""fc78edf6ac""","HR Manager","2018-04-13 16:53:36.175504","Administrator","Employee Tax Exemption Declaration",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"","""fc7e380bb4""","Employee Self Service","2024-06-28 14:30:43.318981","Administrator","Country",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""fcb5034861""","Employee","2013-02-28 17:57:33","Administrator","Timesheet",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"","""fe3a097498""","HR User","2021-05-11 12:41:50.256071","Administrator","Grievance Type",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""fe5260f159""","Employee Self Service","2024-06-28 14:30:45.318950","Administrator","Role",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""ffb4a206fc""","HR Manager","2018-04-13 16:14:24.174138","Administrator","Employee Grade",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""ffd3c241a6""","HR Manager","2013-02-21 09:55:58","Administrator","Leave Type",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
