"Data Import Template"
"Table:","Dashboard Chart"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Dashboard Chart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","Dashboard Chart Field","y_axis","","","","~","Has Role","roles","",""
"Column Labels:","ID","Chart Name","Filters JSON","Created On","Created By","Is Standard","Module","Chart Type","Report Name","Use Report Chart","X Field","Chart Source","Document Type","Parent Document Type","Time Series Based On","Value Based On","Group By Type","Group By Based On","Aggregate Function Based On","Number of Groups","Is Public","Year","Timespan","From Date","To Date","Time Interval","Time Series","Type","Dynamic Filters JSON","Custom Options","Color","Last Synced On","","ID","Created On","Created By","Y Field","Color","","ID","Created On","Created By","Role"
"","""Purchase Receipt Trends""","Purchase Receipt Trends","[[""Purchase Receipt"",""docstatus"",""="",1]]","2020-07-20 21:01:04.205230","Administrator",1,"Stock","Sum","",0,"","","Purchase Receipt","","posting_date","base_net_total","","","",0,1,"","Last Year","","","Monthly",1,"Bar","","","#78d6ff","","","","","","","","","""f9e3e11f3c""","2013-06-13 18:45:44","Administrator","Stock Manager"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""9ca12f453d""","2013-06-13 18:45:44","Administrator","Stock User"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""5fb6728a69""","2013-06-13 18:45:44","Administrator","Purchase User"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""6805cc9ff3""","2013-06-13 18:45:44","Administrator","Accounts User"
"","""Quality Inspection Analysis""","Quality Inspection Analysis","{""from_date"":""2019-07-09"",""to_date"":""2020-07-09""}","2020-07-08 22:40:22.483617","Administrator",1,"Manufacturing","Report","Quality Inspection Summary",1,"","","","","","","","","",0,1,"","Last Year","","","Yearly",0,"Donut","","{""axisOptions"": {""shortenYAxisNumbers"": 1}, ""height"": 300}","","","","","","","","","","","","",""
"","""Sales Order Analysis""","Sales Order Analysis","{""status"":[""To Bill"",""To Deliver""],""group_by_so"":0,""from_date"":""2020-06-22""}","2020-07-20 20:17:16.440393","Administrator",1,"Selling","Report","Sales Order Analysis",1,"","","","","","","","","",0,1,"","","","","",0,"Donut","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""to_date"":""frappe.datetime.nowdate()""}","{""type"": ""donut"", ""height"": 300, ""axisOptions"": {""shortenYAxisNumbers"": 1}}","","","","","","","","","","""e87bdc59e5""","2020-05-29 14:54:53.591445","Administrator","Sales User"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""7e0d0118a2""","2020-05-29 14:54:53.591445","Administrator","Sales Manager"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""0244580aef""","2020-05-29 14:54:53.591445","Administrator","Maintenance User"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""dcfbb7f409""","2020-05-29 14:54:53.591445","Administrator","Accounts User"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""5ddcf800cf""","2020-05-29 14:54:53.591445","Administrator","Stock User"
"","""Sales Order Trends""","Sales Order Trends","{""period"":""Monthly"",""based_on"":""Item""}","2020-07-20 20:17:16.508240","Administrator",1,"Selling","Report","Sales Order Trends",1,"","","","","","","","","",0,1,"","","","","",0,"Line","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""fiscal_year"":""erpnext.utils.get_fiscal_year()""}","{""type"": ""line"", ""axisOptions"": {""shortenYAxisNumbers"": 1}, ""tooltipOptions"": {}, ""lineOptions"": {""regionFill"": 1}}","","","","","","","","","","""c1d6c9978d""","2013-06-13 18:43:30","Administrator","Sales User"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""6702bae565""","2013-06-13 18:43:30","Administrator","Sales Manager"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""cbee4486fe""","2013-06-13 18:43:30","Administrator","Maintenance User"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""bb5f46ff8d""","2013-06-13 18:43:30","Administrator","Accounts User"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""2bcd285b3c""","2013-06-13 18:43:30","Administrator","Stock User"
"","""Shift Assignment Breakup""","Shift Assignment Breakup","[[""Shift Assignment"",""docstatus"",""="",""1"",false]]","2022-08-21 18:11:42.510195","Administrator",1,"HR","Group By","",0,"","","Shift Assignment","","","","Count","shift_type","",0,1,"","Last Year","","","Yearly",0,"Pie","[[""Shift Assignment"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","05-07-2024 14:34:01","","","","","","","","","","",""
"","""Territory Wise Opportunity Count""","Territory Wise Opportunity Count","[]","2020-07-20 20:17:15.774176","Administrator",1,"CRM","Group By","",0,"","","Opportunity","","","","Count","territory","",0,1,"","","","","",0,"Donut","[[""Opportunity"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","{""truncateLegends"": 1, ""maxSlices"": 8}","","22-07-2020 15:45:32","","","","","","","","","","",""
"","""Territory Wise Sales""","Territory Wise Sales","[[""Opportunity"",""status"",""="",""Converted"",false]]","2020-07-20 20:17:15.809008","Administrator",1,"CRM","Group By","",0,"","","Opportunity","","","","Sum","territory","opportunity_amount",0,1,"","","","","",0,"Bar","[[""Opportunity"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","13-07-2024 10:48:17","","","","","","","","","","",""
"","""Timesheet Activity Breakup""","Timesheet Activity Breakup","[]","2022-08-21 14:31:10.401241","Administrator",1,"HR","Group By","",0,"","","Timesheet Detail","Timesheet","","","Sum","activity_type","hours",0,1,"","Last Year","","","Yearly",0,"Percentage","[]","","","05-07-2024 14:34:01","","","","","","","","","","",""
"","""Top Customers""","Top Customers","{""period"":""Yearly"",""based_on"":""Customer""}","2020-07-20 20:17:16.539281","Administrator",1,"Selling","Report","Delivery Note Trends",1,"","","","","","","","","",0,1,"","","","","",0,"Bar","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""fiscal_year"":""erpnext.utils.get_fiscal_year()""}","","","","","","","","","","","","","",""
"","""Top Suppliers""","Top Suppliers","{""period"":""Monthly"",""period_based_on"":""posting_date"",""based_on"":""Supplier""}","2020-07-20 21:01:02.329519","Administrator",1,"Buying","Report","Purchase Receipt Trends",1,"","","","","","","","","",0,1,"","","","","",0,"Bar","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""fiscal_year"":""erpnext.utils.get_fiscal_year()""}","","","","","","","","","","","","","",""
"","""Training Type""","Training Type","[[""Training Event"",""docstatus"",""="",""1"",false]]","2022-08-21 13:29:27.202404","Administrator",1,"HR","Group By","",0,"","","Training Event","","","","Count","type","",0,1,"","Last Year","","","Yearly",0,"Pie","[]","","","","","","","","","","","","","",""
"","""Warehouse wise Stock Value""","Warehouse wise Stock Value","{}","2020-07-20 21:01:04.296157","Administrator",1,"Stock","Custom","",0,"","Warehouse wise Stock Value","","","","","","","",0,1,"","","","","",0,"Bar","","","","17-08-2025 13:29:34","","","","","","","","","","",""
"","""Won Opportunities""","Won Opportunities","[[""Opportunity"",""status"",""="",""Converted"",false]]","2020-07-20 20:17:15.738889","Administrator",1,"CRM","Count","",0,"","","Opportunity","","modified","","","","",0,1,"","Last Year","","","Monthly",1,"Bar","[[""Opportunity"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","22-07-2020 15:45:32","","","","","","","","","","",""
"","""Work Order Analysis""","Work Order Analysis","{""charts_based_on"":""Status""}","2020-07-08 22:40:22.465459","Administrator",1,"Manufacturing","Report","Work Order Summary",1,"","","","","","","","","",0,1,"","Last Year","","","Yearly",0,"Donut","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""from_date"":""frappe.defaults.get_user_default(\""year_start_date\"")"",""to_date"":""frappe.defaults.get_user_default(\""year_end_date\"")""}","{""axisOptions"": {""shortenYAxisNumbers"": 1}, ""height"": 300}","","","","","","","","","","","","",""
"","""Work Order Qty Analysis""","Work Order Qty Analysis","{""charts_based_on"":""Quantity""}","2020-07-08 22:40:22.532889","Administrator",1,"Manufacturing","Report","Work Order Summary",1,"","","","","","","","","",0,1,"","Last Year","","","Yearly",0,"Bar","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""from_date"":""frappe.defaults.get_user_default(\""year_start_date\"")"",""to_date"":""frappe.defaults.get_user_default(\""year_end_date\"")""}","{""barOptions"": {""stacked"": 1}}","","","","","","","","","","","","",""
"","""Y-O-Y Promotions""","Y-O-Y Promotions","[[""Employee Promotion"",""docstatus"",""="",""1"",false]]","2022-08-21 13:34:12.830736","Administrator",1,"HR","Count","",0,"","","Employee Promotion","","promotion_date","","Count","","",0,1,"","Last Year","","","Yearly",1,"Line","[[""Employee Promotion"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","","","","","","","","","","","",""
"","""Y-O-Y Transfers""","Y-O-Y Transfers","[[""Employee Transfer"",""docstatus"",""="",""1"",false]]","2022-08-21 13:28:05.162754","Administrator",1,"HR","Count","",0,"","","Employee Transfer","","transfer_date","","Count","","",0,1,"","Last Year","","","Yearly",1,"Line","[[""Employee Transfer"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","","","","","","","","","","","",""
